vehicle_type,second_vehicle_type,date,time,road_has_pavement,distance_to_nearest_traffic_light,speed_limit,estimated_speed_of_collision,speed_of_collision_rangeseat_belt_used,injury_sustained,lethal,land_use,city
Bicycle,Bicycle,22/07/18,08:20,0,12,30,30,30 - 35,N/A,1,0,Residential,Eldoret
Motorbike,Car,20/08/18,17:04,0,14,50,44,40 - 45,0,1,1,Residential,Nairobi
Bicycle,Bicycle,08/03/18,21:47,0,19,40,41,40 - 45,N/A,1,0,Agricultural,Mombasa
Car,Bicycle,27/04/18,18:53,0,14,20,26,25 - 30,1,1,0,Transport,Nairobi
Bicycle,Pedestrian,04/04/18,13:50,0,18,30,34,30 - 35,N/A,1,0,Transport,Nairobi
Motorbike,Car,06/11/18,09:56,0,24,60,70,70 - 75,1,1,1,Residential,Nairobi
Bicycle,Pedestrian,18/12/18,08:38,0,4,30,23,20 - 25,N/A,0,0,Residential,Nairobi
Car,Car,15/06/18,17:01,0,20,50,48,45 - 50,0,1,0,Residential,Kisumu
Motorbike,Car,27/05/18,20:12,0,15,60,62,60 - 65,0,1,1,Industrial,Kehancha
Motorbike,Motorbike,17/03/18,19:53,1,23,20,11,10 - 15,N/A,1,0,Residential,Mombasa
Motorbike,Motorbike,26/07/18,08:09,0,5,40,41,40 - 45,N/A,1,0,Agricultural,Nairobi
Bicycle,Motorbike,15/03/18,08:45,0,17,40,43,40 - 45,N/A,1,0,Industrial,Nairobi
Bicycle,Bicycle,13/06/18,08:47,1,19,20,19,15 - 20,N/A,0,0,Commercial,Nakuru
Motorbike,Car,26/02/18,20:16,0,9,30,21,20 - 25,1,1,0,Residential,Nairobi
Motorbike,Car,02/10/18,08:04,0,6,40,42,40 - 45,1,1,1,Transport,Kehancha
Motorbike,Pedestrian,18/10/18,20:20,1,17,40,46,45 - 50,N/A,1,0,Residential,Nairobi
Car,Car,13/06/18,00:35,1,20,70,70,70 - 75,0,1,1,Residential,Kisumu
Car,Car,07/02/18,17:59,0,22,40,43,40 - 45,1,1,0,Residential,Nairobi
Car,Car,01/08/18,19:54,0,16,60,69,65 - 70,0,1,1,Agricultural,Nairobi
Pedestrian,Pedestrian,15/09/18,06:39,0,12,30,43,40 - 45,N/A,0,0,Agricultural,Nairobi
Motorbike,Motorbike,01/06/18,09:53,0,14,40,42,40 - 45,N/A,1,1,Agricultural,Nairobi
Car,Motorbike,13/06/18,17:17,1,16,50,39,35 - 40,0,1,0,Commercial,Nairobi
Car,Car,06/10/18,19:47,0,6,60,73,70 - 75,1,1,0,Residential,Nairobi
Bicycle,Pedestrian,12/04/18,17:27,0,26,20,12,10 - 15,N/A,0,0,Residential,Mombasa
Car,Bicycle,15/05/18,17:55,0,12,30,36,35 - 40,1,1,1,Residential,Nakuru
Car,Car,27/02/18,05:10,0,13,50,53,50 - 55,0,1,0,Agricultural,Nakuru
Car,Motorbike,08/12/18,20:49,0,22,30,38,35 - 40,1,1,0,Agricultural,Nairobi
Car,Car,05/05/18,00:07,0,20,40,47,45 - 50,1,1,0,Industrial,Nairobi
Bicycle,Pedestrian,06/09/18,10:07,1,31,20,19,15 - 20,N/A,1,0,Residential,Nairobi
Pedestrian,Pedestrian,22/12/18,10:18,0,4,20,21,20 - 25,N/A,0,0,Agricultural,Nairobi
Pedestrian,Pedestrian,27/02/18,21:27,0,4,20,16,15 - 20,N/A,0,0,Residential,Nairobi
Motorbike,Car,18/05/18,10:12,0,23,40,52,50 - 55,1,1,0,Residential,Nairobi
Car,Car,20/10/18,19:59,0,36,60,62,60 - 65,0,1,1,Residential,Kikuyu
Motorbike,Car,01/09/18,17:56,1,28,50,43,40 - 45,1,1,0,Residential,Nairobi
Bicycle,Bicycle,09/05/18,20:45,0,6,30,29,25 - 30,N/A,1,0,Residential,Nairobi
Car,Motorbike,26/12/18,17:56,1,21,20,29,25 - 30,1,1,0,Residential,Nairobi
Motorbike,Car,26/06/18,00:58,0,2,50,50,50 - 55,1,1,1,Agricultural,Nairobi
Motorbike,Motorbike,19/02/18,17:26,1,24,60,54,50 - 55,N/A,1,0,Residential,Eldoret
Car,Car,16/11/18,17:39,1,12,60,54,50 - 55,1,1,0,Residential,Nairobi
Car,Car,07/11/18,17:46,0,6,70,68,65 - 70,0,1,0,Agricultural,Nairobi
Pedestrian,Bicycle,04/12/18,19:31,0,18,30,37,35 - 40,N/A,1,0,Agricultural,Nairobi
Car,Car,27/07/18,17:34,0,5,40,46,45 - 50,0,1,0,Residential,Nakuru
Car,Car,26/06/18,08:05,1,22,40,36,35 - 40,1,1,0,Residential,Mombasa
Car,Motorbike,26/07/18,20:48,0,12,60,54,50 - 55,1,1,0,Agricultural,Nairobi
Motorbike,Car,13/09/18,09:44,0,1,50,50,50 - 55,1,1,1,Residential,Kikuyu
Motorbike,Bicycle,06/02/18,17:43,1,33,40,25,25 - 30,N/A,1,0,Commercial,Nairobi
Car,Car,05/05/18,17:20,0,9,40,33,30 - 35,1,1,0,Transport,Mombasa
Bicycle,Bicycle,22/08/18,22:58,0,19,30,29,25 - 30,N/A,1,0,Residential,Mombasa
Motorbike,Pedestrian,25/08/18,05:36,1,10,30,38,35 - 40,N/A,1,0,Commercial,Nairobi
Bicycle,Bicycle,12/09/18,21:23,0,1,20,19,15 - 20,N/A,1,0,Agricultural,Nairobi
Car,Pedestrian,08/02/18,09:09,0,14,40,39,35 - 40,1,1,0,Transport,Nairobi
Car,Pedestrian,12/11/18,13:59,0,19,40,41,40 - 45,1,1,0,Residential,Mombasa
Car,Motorbike,02/05/18,18:13,0,10,20,23,20 - 25,1,1,0,Residential,Nairobi
Car,Car,26/06/18,00:24,0,40,60,58,55 - 60,0,1,1,Agricultural,Kisumu
Car,Car,24/02/18,18:10,0,11,60,66,65 - 70,1,1,0,Agricultural,Nairobi
Car,Car,16/09/18,14:07,0,20,50,48,45 - 50,1,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,05/08/18,19:25,0,14,30,36,35 - 40,N/A,1,0,Agricultural,Nairobi
Pedestrian,Bicycle,15/08/18,18:43,1,24,20,17,15 - 20,N/A,0,0,Residential,Mombasa
Car,Motorbike,19/02/18,17:20,1,2,40,49,45 - 50,1,1,0,Industrial,Mombasa
Pedestrian,Pedestrian,12/08/18,17:40,1,8,30,43,40 - 45,N/A,0,0,Residential,Mombasa
Car,Car,08/10/18,10:08,0,30,50,48,45 - 50,1,1,0,Residential,Eldoret
Motorbike,Pedestrian,24/06/18,19:40,0,21,40,36,35 - 40,N/A,1,0,Commercial,Kisumu
Car,Car,13/07/18,21:53,0,11,70,76,75 - 80,1,1,0,Residential,Nairobi
Car,Pedestrian,19/04/18,23:23,1,11,30,42,40 - 45,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,14/03/18,04:11,0,17,40,35,35 - 40,N/A,1,0,Agricultural,Nairobi
Motorbike,Car,08/11/18,18:32,0,35,70,72,70 - 75,0,1,1,Agricultural,Nairobi
Car,Bicycle,27/03/18,20:21,1,16,40,51,50 - 55,1,1,0,Residential,Nairobi
Motorbike,Bicycle,03/10/18,05:55,0,17,50,49,45 - 50,N/A,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,10/02/18,09:22,0,8,30,33,30 - 35,N/A,0,0,Transport,Nakuru
Car,Car,21/06/18,18:42,1,16,40,33,30 - 35,0,1,0,Commercial,Nairobi
Pedestrian,Car,14/03/18,10:51,0,7,40,53,50 - 55,1,1,0,Agricultural,Nairobi
Bicycle,Car,01/03/18,18:16,0,35,30,30,30 - 35,1,0,0,Industrial,Kehancha
Motorbike,Car,21/07/18,20:19,0,23,50,44,40 - 45,1,1,0,Agricultural,Mombasa
Bicycle,Motorbike,05/11/18,19:08,0,29,50,50,50 - 55,N/A,1,1,Transport,Nairobi
Car,Car,22/11/18,17:58,1,18,70,71,70 - 75,0,1,0,Residential,Mombasa
Pedestrian,Pedestrian,13/12/18,17:29,0,15,30,24,20 - 25,N/A,0,0,Residential,Mombasa
Bicycle,Bicycle,23/11/18,15:57,0,9,30,27,25 - 30,N/A,1,0,Residential,Nairobi
Car,Motorbike,15/06/18,20:09,0,24,50,51,50 - 55,1,1,0,Agricultural,Nairobi
Bicycle,Bicycle,23/03/18,11:16,1,8,20,14,10 - 15,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,06/01/18,18:05,0,19,20,19,15 - 20,N/A,0,0,Commercial,Nairobi
Pedestrian,Pedestrian,27/05/18,12:53,1,14,20,22,20 - 25,N/A,0,0,Commercial,Nakuru
Pedestrian,Car,12/08/18,08:20,0,16,40,38,35 - 40,1,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,03/01/18,17:11,0,17,30,38,35 - 40,N/A,0,0,Agricultural,Nairobi
Pedestrian,Bicycle,12/11/18,03:24,1,5,20,31,30 - 35,N/A,0,0,Commercial,Nairobi
Bicycle,Bicycle,06/07/18,19:56,0,7,30,36,35 - 40,N/A,1,0,Residential,Mombasa
Pedestrian,Bicycle,10/04/18,17:23,0,13,20,20,20 - 25,N/A,0,0,Agricultural,Nairobi
Motorbike,Pedestrian,04/01/18,20:23,0,13,20,17,15 - 20,N/A,1,0,Residential,Mombasa
Bicycle,Motorbike,13/10/18,05:19,0,33,40,27,25 - 30,N/A,1,0,Transport,Nairobi
Pedestrian,Pedestrian,26/05/18,08:16,0,25,30,36,35 - 40,N/A,0,0,Residential,Mombasa
Motorbike,Car,28/05/18,15:17,0,17,50,38,35 - 40,0,1,1,Residential,Eldoret
Car,Car,08/05/18,01:33,0,2,50,44,40 - 45,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,23/02/18,17:45,0,16,40,39,35 - 40,N/A,0,0,Commercial,Kisumu
Car,Pedestrian,10/01/18,19:52,0,18,40,40,40 - 45,1,1,0,Industrial,Nairobi
Car,Motorbike,05/09/18,17:42,1,10,60,66,65 - 70,0,1,0,Commercial,Kehancha
Car,Car,01/05/18,08:33,0,5,60,68,65 - 70,1,1,1,Residential,Nairobi
Pedestrian,Pedestrian,10/09/18,18:45,0,0,20,26,25 - 30,N/A,1,0,Commercial,Nairobi
Bicycle,Bicycle,13/10/18,09:46,1,16,30,21,20 - 25,N/A,1,0,Commercial,Nairobi
Car,Car,23/08/18,18:52,0,10,50,56,55 - 60,0,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,02/04/18,19:17,1,28,30,28,25 - 30,N/A,0,0,Residential,Nairobi
Motorbike,Car,11/11/18,18:02,0,3,40,27,25 - 30,1,1,0,Residential,Mombasa
Motorbike,Car,18/04/18,13:42,0,30,50,49,45 - 50,1,1,0,Residential,Nairobi
Car,Car,27/09/18,08:10,0,27,50,57,55 - 60,0,1,1,Residential,Kikuyu
Car,Motorbike,17/01/18,20:38,0,21,40,34,30 - 35,1,1,0,Agricultural,Mombasa
Car,Motorbike,03/06/18,19:20,0,4,50,54,50 - 55,1,1,0,Agricultural,Mombasa
Pedestrian,Bicycle,10/05/18,22:27,0,8,20,24,20 - 25,N/A,1,0,Agricultural,Kisumu
Bicycle,Motorbike,19/07/18,15:55,1,17,30,15,15 - 20,N/A,1,0,Residential,Nairobi
Car,Motorbike,26/12/18,09:36,0,4,40,35,35 - 40,1,1,0,Agricultural,Nairobi
Pedestrian,Bicycle,26/09/18,20:52,0,13,30,28,25 - 30,N/A,1,0,Agricultural,Nairobi
Motorbike,Bicycle,15/01/18,18:49,1,21,20,18,15 - 20,N/A,1,0,Transport,Eldoret
Pedestrian,Pedestrian,02/06/18,02:01,0,11,30,22,20 - 25,N/A,0,0,Commercial,Kisumu
Car,Car,03/04/18,18:36,0,15,60,59,55 - 60,0,1,0,Industrial,Kehancha
Car,Motorbike,23/05/18,18:58,0,11,60,55,55 - 60,1,1,0,Agricultural,Nairobi
Pedestrian,Car,11/05/18,08:20,0,24,40,38,35 - 40,0,1,0,Industrial,Nairobi
Motorbike,Bicycle,12/10/18,10:51,1,13,30,24,20 - 25,N/A,1,0,Residential,Nairobi
Car,Car,21/11/18,10:32,1,7,50,48,45 - 50,0,1,0,Commercial,Kikuyu
Car,Car,26/03/18,05:31,1,37,50,61,60 - 65,1,1,0,Residential,Nairobi
Motorbike,Bicycle,16/11/18,19:51,0,24,20,19,15 - 20,N/A,1,0,Industrial,Kehancha
Pedestrian,Bicycle,09/05/18,19:33,0,24,20,30,30 - 35,N/A,1,0,Residential,Nairobi
Car,Car,09/06/18,03:08,0,2,60,63,60 - 65,1,1,0,Transport,Nairobi
Car,Motorbike,11/12/18,18:49,0,22,60,58,55 - 60,1,1,0,Agricultural,Nairobi
Car,Car,22/09/18,18:46,0,15,40,35,35 - 40,1,1,0,Agricultural,Mombasa
Bicycle,Pedestrian,21/05/18,20:39,0,26,40,35,35 - 40,N/A,1,0,Commercial,Nairobi
Pedestrian,Bicycle,20/01/18,09:12,0,22,20,18,15 - 20,N/A,1,0,Agricultural,Nairobi
Pedestrian,Bicycle,10/01/18,19:01,0,9,20,14,10 - 15,N/A,0,0,Industrial,Mombasa
Car,Car,02/04/18,08:17,0,23,70,69,65 - 70,1,1,0,Residential,Mombasa
Car,Car,07/10/18,09:17,0,14,50,50,50 - 55,0,1,1,Commercial,Mombasa
Car,Car,14/05/18,08:44,0,4,50,50,50 - 55,1,1,1,Residential,Nairobi
Car,Bicycle,19/02/18,09:52,1,2,30,41,40 - 45,0,1,0,Commercial,Mombasa
Motorbike,Car,01/03/18,13:14,0,6,50,52,50 - 55,1,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,18/05/18,08:34,0,19,30,26,25 - 30,N/A,1,0,Industrial,Nairobi
Bicycle,Pedestrian,23/11/18,04:21,1,11,20,20,20 - 25,N/A,1,0,Industrial,Nairobi
Bicycle,Bicycle,13/10/18,17:29,0,12,30,25,25 - 30,N/A,1,0,Residential,Nakuru
Car,Car,22/08/18,09:13,0,3,50,61,60 - 65,1,1,0,Agricultural,Mombasa
Motorbike,Car,25/09/18,03:57,1,24,60,60,60 - 65,1,1,0,Residential,Nairobi
Car,Car,26/08/18,14:09,0,20,50,36,35 - 40,1,1,1,Residential,Nairobi
Car,Car,10/01/18,10:30,1,31,70,70,70 - 75,1,1,0,Residential,Mombasa
Car,Car,02/12/18,03:12,1,12,60,58,55 - 60,1,1,0,Residential,Nairobi
Car,Car,10/05/18,18:28,1,24,60,57,55 - 60,1,1,0,Commercial,Nakuru
Motorbike,Car,27/02/18,10:30,0,18,50,49,45 - 50,1,1,1,Commercial,Nairobi
Bicycle,Motorbike,04/02/18,22:04,0,18,40,40,40 - 45,N/A,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,23/01/18,13:02,1,22,30,29,25 - 30,N/A,1,0,Residential,Nairobi
Car,Car,12/12/18,02:07,0,31,50,52,50 - 55,1,1,0,Agricultural,Nairobi
Car,Car,22/02/18,05:22,0,15,40,41,40 - 45,1,1,0,Residential,Nairobi
Motorbike,Car,14/07/18,13:51,0,9,70,81,80 - 85,1,1,1,Commercial,Kikuyu
Car,Car,14/02/18,19:29,0,1,50,35,35 - 40,0,1,0,Residential,Kikuyu
Bicycle,Pedestrian,18/07/18,19:25,0,19,30,22,20 - 25,N/A,0,0,Agricultural,Nairobi
Bicycle,Pedestrian,04/12/18,18:37,0,18,20,23,20 - 25,N/A,0,0,Agricultural,Nairobi
Car,Car,09/02/18,09:33,0,8,50,45,45 - 50,0,1,1,Commercial,Mombasa
Pedestrian,Bicycle,23/03/18,15:50,1,1,30,27,25 - 30,N/A,0,0,Agricultural,Kehancha
Bicycle,Pedestrian,22/03/18,18:29,0,8,20,31,30 - 35,N/A,0,0,Agricultural,Nairobi
Bicycle,Car,27/06/18,10:21,1,22,40,43,40 - 45,1,1,0,Residential,Mombasa
Car,Car,07/07/18,19:19,0,14,70,74,70 - 75,0,1,1,Transport,Mombasa
Car,Car,11/12/18,16:45,0,15,60,51,50 - 55,1,1,0,Residential,Nairobi
Motorbike,Car,26/12/18,16:50,1,23,50,59,55 - 60,0,1,1,Transport,Nairobi
Motorbike,Motorbike,06/02/18,13:43,0,23,40,38,35 - 40,N/A,1,1,Residential,Nairobi
Car,Motorbike,20/12/18,09:15,1,4,70,65,65 - 70,1,1,0,Residential,Nairobi
Pedestrian,Pedestrian,03/08/18,08:00,0,12,20,31,30 - 35,N/A,1,0,Industrial,Kehancha
Motorbike,Pedestrian,04/10/18,09:21,0,12,40,40,40 - 45,N/A,1,0,Residential,Mombasa
Car,Car,27/12/18,20:05,0,20,50,64,60 - 65,1,1,1,Residential,Nairobi
Bicycle,Bicycle,07/12/18,20:27,0,14,30,28,25 - 30,N/A,1,0,Agricultural,Mombasa
Motorbike,Pedestrian,25/11/18,18:07,0,16,20,14,10 - 15,N/A,1,0,Residential,Nakuru
Bicycle,Pedestrian,23/01/18,23:55,1,22,30,40,40 - 45,N/A,1,0,Residential,Eldoret
Car,Motorbike,06/11/18,20:45,0,17,40,45,45 - 50,1,1,0,Agricultural,Nairobi
Motorbike,Pedestrian,20/10/18,15:02,0,14,20,20,20 - 25,N/A,1,0,Industrial,Kehancha
Car,Car,19/11/18,21:54,0,14,40,40,40 - 45,0,1,1,Residential,Nairobi
Car,Car,11/06/18,08:55,0,19,70,81,80 - 85,1,1,1,Residential,Nakuru
Car,Car,21/05/18,14:50,0,17,50,36,35 - 40,1,1,0,Residential,Nairobi
Car,Car,14/08/18,01:22,0,21,60,62,60 - 65,0,1,1,Residential,Nairobi
Car,Car,25/06/18,01:18,1,31,60,50,50 - 55,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,18/04/18,00:47,1,16,30,41,40 - 45,N/A,1,0,Residential,Mombasa
Car,Car,25/10/18,20:40,1,16,50,44,40 - 45,0,1,1,Commercial,Kikuyu
Car,Car,03/11/18,09:52,0,11,50,52,50 - 55,1,1,0,Residential,Nairobi
Car,Car,06/09/18,18:11,0,20,60,62,60 - 65,1,1,0,Industrial,Nairobi
Motorbike,Motorbike,14/04/18,09:49,0,6,50,50,50 - 55,N/A,1,1,Industrial,Kehancha
Pedestrian,Pedestrian,24/02/18,10:14,0,29,20,20,20 - 25,N/A,1,0,Residential,Nairobi
Car,Car,12/08/18,17:13,1,26,60,56,55 - 60,0,1,0,Residential,Nakuru
Car,Car,04/12/18,17:11,0,18,50,52,50 - 55,0,1,0,Residential,Nairobi
Bicycle,Pedestrian,13/10/18,18:14,0,19,30,42,40 - 45,N/A,1,0,Transport,Nairobi
Bicycle,Motorbike,04/06/18,05:18,0,23,30,35,35 - 40,N/A,1,0,Agricultural,Nairobi
Bicycle,Pedestrian,16/01/18,13:05,0,11,40,32,30 - 35,N/A,1,0,Residential,Nairobi
Car,Motorbike,26/10/18,10:03,0,14,40,26,25 - 30,1,1,0,Agricultural,Mombasa
Pedestrian,Bicycle,18/03/18,08:23,1,4,20,27,25 - 30,N/A,0,0,Residential,Eldoret
Car,Car,20/04/18,09:45,1,4,50,57,55 - 60,1,1,0,Commercial,Nairobi
Bicycle,Bicycle,16/09/18,17:48,0,26,40,26,25 - 30,N/A,1,0,Agricultural,Nairobi
Car,Car,07/12/18,23:55,0,28,50,65,65 - 70,1,1,1,Agricultural,Nairobi
Pedestrian,Pedestrian,16/08/18,19:28,1,22,40,34,30 - 35,N/A,1,0,Commercial,Eldoret
Bicycle,Car,19/11/18,10:02,0,10,40,50,50 - 55,1,1,0,Agricultural,Nairobi
Pedestrian,Bicycle,02/07/18,09:50,0,17,30,30,30 - 35,N/A,1,0,Transport,Mombasa
Bicycle,Pedestrian,12/03/18,02:25,0,4,30,31,30 - 35,N/A,0,0,Transport,Nairobi
Car,Car,28/03/18,18:23,1,29,40,34,30 - 35,1,1,0,Residential,Nakuru
Car,Bicycle,05/10/18,10:31,0,18,40,38,35 - 40,1,1,0,Commercial,Nairobi
Motorbike,Motorbike,01/06/18,19:58,1,36,40,40,40 - 45,N/A,1,0,Commercial,Kikuyu
Bicycle,Motorbike,08/07/18,17:31,1,14,20,20,20 - 25,N/A,1,0,Commercial,Kisumu
Car,Car,13/03/18,00:28,1,2,40,48,45 - 50,1,1,0,Residential,Nairobi
Pedestrian,Car,23/05/18,17:51,1,12,30,19,15 - 20,1,0,0,Industrial,Mombasa
Car,Bicycle,05/12/18,18:16,1,21,40,32,30 - 35,0,1,0,Residential,Eldoret
Car,Pedestrian,07/10/18,13:22,0,24,40,42,40 - 45,0,1,0,Transport,Nakuru
Car,Motorbike,22/09/18,18:40,1,15,50,49,45 - 50,0,1,0,Residential,Nairobi
Car,Car,19/09/18,19:43,1,6,70,69,65 - 70,1,1,0,Commercial,Nairobi
Car,Car,17/01/18,08:40,0,43,40,38,35 - 40,1,1,0,Agricultural,Nairobi
Pedestrian,Bicycle,01/05/18,18:44,0,25,20,14,10 - 15,N/A,0,0,Commercial,Nairobi
Bicycle,Bicycle,27/06/18,08:04,1,10,30,38,35 - 40,N/A,1,0,Residential,Kikuyu
Car,Car,12/07/18,10:48,0,6,40,46,45 - 50,1,1,0,Residential,Nairobi
Motorbike,Car,19/03/18,18:57,0,25,40,34,30 - 35,0,1,0,Commercial,Nairobi
Car,Car,27/08/18,08:27,1,17,70,65,65 - 70,1,1,1,Commercial,Nairobi
Pedestrian,Pedestrian,25/01/18,19:53,1,21,30,42,40 - 45,N/A,1,0,Residential,Mombasa
Motorbike,Car,01/12/18,19:29,0,12,60,54,50 - 55,1,1,1,Commercial,Kisumu
Pedestrian,Car,02/05/18,19:01,0,16,20,27,25 - 30,1,1,0,Agricultural,Nairobi
Bicycle,Car,23/08/18,09:28,0,17,30,30,30 - 35,0,1,0,Agricultural,Kisumu
Bicycle,Bicycle,18/09/18,18:17,1,1,30,28,25 - 30,N/A,0,0,Residential,Mombasa
Bicycle,Bicycle,09/05/18,20:08,1,9,20,29,25 - 30,N/A,0,0,Residential,Eldoret
Car,Car,21/07/18,03:32,0,13,50,50,50 - 55,0,1,1,Residential,Eldoret
Car,Car,11/01/18,08:23,0,21,30,25,25 - 30,1,1,0,Residential,Nairobi
Motorbike,Bicycle,24/03/18,18:33,1,22,20,8,5 - 10,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,19/09/18,04:17,1,17,20,17,15 - 20,N/A,0,0,Residential,Nairobi
Pedestrian,Pedestrian,04/12/18,17:05,0,22,40,40,40 - 45,N/A,0,0,Residential,Nairobi
Car,Car,08/03/18,18:35,1,7,70,62,60 - 65,0,1,0,Residential,Mombasa
Bicycle,Pedestrian,23/07/18,19:07,0,31,30,30,30 - 35,N/A,1,0,Residential,Mombasa
Pedestrian,Bicycle,09/05/18,08:44,0,18,20,23,20 - 25,N/A,1,0,Residential,Nairobi
Car,Pedestrian,02/06/18,01:22,0,27,20,24,20 - 25,1,1,0,Commercial,Nairobi
Bicycle,Pedestrian,16/01/18,19:31,0,40,30,21,20 - 25,N/A,1,0,Industrial,Nairobi
Pedestrian,Pedestrian,28/10/18,08:34,0,4,20,19,15 - 20,N/A,0,0,Residential,Nairobi
Pedestrian,Car,14/09/18,20:09,0,24,30,26,25 - 30,1,1,0,Residential,Mombasa
Car,Motorbike,06/04/18,19:19,0,9,40,51,50 - 55,1,1,0,Agricultural,Nairobi
Motorbike,Bicycle,14/07/18,03:11,0,14,40,36,35 - 40,N/A,1,0,Industrial,Kehancha
Car,Car,05/02/18,17:54,1,6,70,72,70 - 75,1,1,0,Commercial,Nairobi
Pedestrian,Pedestrian,21/03/18,20:49,0,19,20,32,30 - 35,N/A,0,0,Industrial,Nairobi
Pedestrian,Motorbike,09/05/18,10:28,1,0,20,20,20 - 25,N/A,1,0,Residential,Kehancha
Motorbike,Pedestrian,11/12/18,19:13,0,11,40,33,30 - 35,N/A,1,1,Residential,Nairobi
Motorbike,Car,13/12/18,09:02,0,12,50,42,40 - 45,1,1,0,Commercial,Nairobi
Motorbike,Pedestrian,26/10/18,18:34,0,20,20,31,30 - 35,N/A,1,0,Residential,Eldoret
Pedestrian,Bicycle,16/06/18,08:38,1,1,30,32,30 - 35,N/A,0,0,Residential,Mombasa
Pedestrian,Bicycle,11/05/18,17:15,0,19,30,28,25 - 30,N/A,0,0,Agricultural,Nairobi
Bicycle,Pedestrian,04/05/18,17:48,0,14,20,25,25 - 30,N/A,0,0,Transport,Nairobi
Car,Motorbike,11/10/18,20:18,0,11,40,37,35 - 40,1,1,0,Residential,Nairobi
Car,Motorbike,20/07/18,20:21,0,41,40,40,40 - 45,0,1,1,Industrial,Kikuyu
Car,Car,10/06/18,10:37,1,39,60,52,50 - 55,1,1,0,Residential,Nairobi
Bicycle,Bicycle,12/09/18,20:05,1,20,30,22,20 - 25,N/A,1,0,Industrial,Nairobi
Car,Car,24/12/18,08:20,0,0,60,66,65 - 70,0,1,1,Transport,Nairobi
Car,Car,02/09/18,17:08,0,10,60,54,50 - 55,0,1,1,Agricultural,Mombasa
Bicycle,Bicycle,14/09/18,22:18,0,7,30,38,35 - 40,N/A,1,0,Residential,Nairobi
Car,Motorbike,26/11/18,17:30,0,26,50,59,55 - 60,1,1,0,Agricultural,Nairobi
Car,Car,18/09/18,18:39,1,22,50,49,45 - 50,0,1,0,Commercial,Kehancha
Car,Car,02/04/18,20:41,0,14,70,67,65 - 70,1,1,1,Agricultural,Nairobi
Car,Car,01/09/18,20:46,1,12,70,75,75 - 80,1,1,0,Commercial,Nairobi
Bicycle,Bicycle,20/02/18,13:17,1,29,20,20,20 - 25,N/A,1,0,Residential,Nairobi
Car,Pedestrian,23/08/18,20:41,0,28,20,21,20 - 25,1,1,0,Commercial,Nakuru
Car,Pedestrian,02/06/18,20:36,0,25,20,21,20 - 25,1,1,0,Agricultural,Nairobi
Car,Car,14/06/18,16:33,0,6,40,48,45 - 50,0,1,1,Agricultural,Nakuru
Car,Car,09/08/18,17:39,0,11,50,43,40 - 45,1,1,0,Transport,Nakuru
Pedestrian,Pedestrian,20/05/18,19:52,0,39,30,42,40 - 45,N/A,0,0,Residential,Nairobi
Car,Car,18/04/18,13:42,0,19,70,75,75 - 80,1,1,1,Agricultural,Nairobi
Pedestrian,Bicycle,23/10/18,19:09,0,29,20,30,30 - 35,N/A,1,0,Residential,Mombasa
Motorbike,Pedestrian,01/06/18,10:24,0,9,20,27,25 - 30,N/A,1,0,Residential,Nairobi
Car,Car,23/09/18,09:39,0,15,60,45,45 - 50,0,1,0,Agricultural,Kikuyu
Car,Bicycle,05/03/18,19:03,0,28,30,22,20 - 25,1,1,0,Agricultural,Mombasa
Motorbike,Car,13/08/18,10:29,0,18,40,27,25 - 30,1,1,0,Residential,Kehancha
Car,Car,18/05/18,10:27,0,19,70,65,65 - 70,1,1,0,Transport,Nairobi
Bicycle,Bicycle,25/09/18,02:19,0,15,30,36,35 - 40,N/A,0,0,Residential,Nairobi
Car,Car,26/11/18,20:29,1,22,50,51,50 - 55,1,1,0,Industrial,Nairobi
Pedestrian,Car,14/11/18,18:11,1,33,20,13,10 - 15,0,1,0,Commercial,Eldoret
Bicycle,Motorbike,23/04/18,13:08,0,31,30,23,20 - 25,N/A,1,0,Transport,Kisumu
Bicycle,Bicycle,12/10/18,19:35,0,9,20,25,25 - 30,N/A,0,0,Residential,Eldoret
Car,Motorbike,03/12/18,08:49,0,24,40,40,40 - 45,1,1,0,Agricultural,Nairobi
Motorbike,Bicycle,24/12/18,08:32,1,21,40,44,40 - 45,N/A,1,0,Commercial,Nairobi
Car,Car,04/06/18,17:48,0,8,60,60,60 - 65,0,1,0,Transport,Nairobi
Car,Car,14/05/18,07:41,0,10,50,40,40 - 45,1,1,0,Transport,Mombasa
Car,Car,19/02/18,10:49,0,14,60,66,65 - 70,1,1,0,Industrial,Mombasa
Pedestrian,Pedestrian,04/05/18,18:08,0,21,30,35,35 - 40,N/A,0,0,Transport,Nairobi
Car,Motorbike,23/02/18,12:44,0,16,50,53,50 - 55,0,1,1,Agricultural,Nairobi
